Epoch 161/200 | Loss: 0.5090
Epoch 162/200 | Loss: 0.5092
Epoch 163/200 | Loss: 0.5033
Epoch 164/200 | Loss: 0.5093
Epoch 165/200 | Loss: 0.5046
Epoch 166/200 | Loss: 0.5117
Epoch 167/200 | Loss: 0.5114
Epoch 168/200 | Loss: 0.5013
Epoch 169/200 | Loss: 0.5117
Epoch 170/200 | Loss: 0.5064
Epoch 171/200 | Loss: 0.5070
Epoch 172/200 | Loss: 0.5063
Epoch 173/200 | Loss: 0.5073
Epoch 174/200 | Loss: 0.5058
Epoch 175/200 | Loss: 0.5066
Epoch 176/200 | Loss: 0.4987
Epoch 177/200 | Loss: 0.5042
Epoch 178/200 | Loss: 0.5040
Epoch 179/200 | Loss: 0.5070
Epoch 180/200 | Loss: 0.5029
Epoch 181/200 | Loss: 0.5055
Epoch 182/200 | Loss: 0.4985
Epoch 183/200 | Loss: 0.5043
Epoch 184/200 | Loss: 0.5002
Epoch 185/200 | Loss: 0.5014
Epoch 186/200 | Loss: 0.5001
Epoch 187/200 | Loss: 0.5077
Epoch 188/200 | Loss: 0.5098
Epoch 189/200 | Loss: 0.5072
Epoch 190/200 | Loss: 0.5019
Epoch 191/200 | Loss: 0.5034
Epoch 192/200 | Loss: 0.5032
Epoch 193/200 | Loss: 0.5012
Epoch 194/200 | Loss: 0.5049
Epoch 195/200 | Loss: 0.4991
Epoch 196/200 | Loss: 0.5007
Epoch 197/200 | Loss: 0.5035
Epoch 198/200 | Loss: 0.5065
Epoch 199/200 | Loss: 0.4993
Epoch 200/200 | Loss: 0.5025
Accuracy : 0.748332353071733
Precision: 0.7291812489418619
Recall   : 0.5208120743862589
F1 Score : 0.5686295869825225
IoU Score: 0.4253227397740864
